MD	GR	PHIE	PHI_ALT	DTCO	RHOB	DTS	WELL
3998.005						111.54029846	Well_11
3998.205						111.23280334	Well_11
3998.405						110.4394989	Well_11
3998.605						109.87599945	Well_11
3998.805						109.52189636	Well_11
3999.005						109.32409668	Well_11
3999.205						109.62149811	Well_11
3999.405						109.64499664	Well_11
3999.605						109.25939941	Well_11
3999.805						109.65460205	Well_11
4000.005						110.57029724	Well_11
4000.205						114.2052002	Well_11
4000.405						115.38379669	Well_11
4000.605						115.93650055	Well_11
4000.805						115.78019714	Well_11
4001.005						115.44159698	Well_11
4001.205						115.16390228	Well_11
4001.405						115.12449646	Well_11
4001.605						116.16940308	Well_11
4001.805						116.86990356	Well_11
4002.005						117.2480011	Well_11
4002.205						117.68309784	Well_11
4002.405						117.48179626	Well_11
4002.605						117.11519623	Well_11
4002.805						116.53669739	Well_11
4003.005						116.83580017	Well_11
4003.205						117.21499634	Well_11
4003.405						117.1414032	Well_11
4003.605						117.18569946	Well_11
4003.805						117.39890289	Well_11
4004.005						117.34609985	Well_11
4004.205						117.33950043	Well_11
4004.405						117.39839935	Well_11
4004.605						117.47049713	Well_11
4004.805						117.91349792	Well_11
4005.005						118.08070374	Well_11
4005.205						118.15969849	Well_11
4005.405						118.00920105	Well_11
4005.605						117.86769867	Well_11
4005.805						117.69799805	Well_11
4006.005						117.28269958	Well_11
4006.205						117.21459961	Well_11
4006.405						117.16880035	Well_11
4006.605						117.13410187	Well_11
4006.805						117.02960205	Well_11
4007.005						116.94490051	Well_11
4007.205						116.85009766	Well_11
4007.405						116.92310333	Well_11
4007.605						117.06970215	Well_11
4007.805						117.21649933	Well_11
4008.005						117.36830139	Well_11
4008.205						117.38680267	Well_11
4008.405						117.4292984	Well_11
4008.605						117.64099884	Well_11
4008.805						117.70120239	Well_11
4009.005						117.75279999	Well_11
4009.205						117.8443985	Well_11
4009.405						117.88269806	Well_11
4009.605						117.88140106	Well_11
4009.805						117.7220993	Well_11
4010.005						117.62909698	Well_11
4010.205						117.56189728	Well_11
4010.405						117.56897736	Well_11
4010.605						117.64749908	Well_11
4010.805						117.6785965	Well_11
4011.005						117.71050262	Well_11
4011.205						117.65799713	Well_11
4011.405						117.65419769	Well_11
4011.605						117.62490082	Well_11
4011.805						117.67980194	Well_11
4012.005						117.78639984	Well_11
4012.205						117.8757019	Well_11
4012.405						117.96530151	Well_11
4012.605						117.99310303	Well_11
4012.805						118.01529694	Well_11
4013.005						118.03440094	Well_11
4013.205						117.99410248	Well_11
4013.405						117.9539032	Well_11
4013.605						117.86589813	Well_11
4013.805						117.65630341	Well_11
4014.005						117.55049896	Well_11
4014.205						117.46260071	Well_11
4014.405						117.36990356	Well_11
4014.605						117.41940308	Well_11
4014.805						117.50160217	Well_11
4015.005						117.61959839	Well_11
4015.205						117.69319916	Well_11
4015.405						117.74089813	Well_11
4015.605						117.74559784	Well_11
4015.805						117.67459869	Well_11
4016.005						117.56909943	Well_11
4016.205						117.36740112	Well_11
4016.405						117.32730103	Well_11
4016.605						117.35350037	Well_11
4016.805						117.41549683	Well_11
4017.005						117.46630096	Well_11
4017.205						117.4536972	Well_11
4017.405						117.48269653	Well_11
4017.605						117.58989716	Well_11
4017.805						117.69069672	Well_11
4018.005						117.74859619	Well_11
4018.205						117.88289642	Well_11
4018.405						117.94740295	Well_11
4018.605						117.99710083	Well_11
4018.805						118.0338974	Well_11
4019.005						117.97879791	Well_11
4019.205						117.90989685	Well_11
4019.405						117.86849976	Well_11
4019.605						117.92269897	Well_11
4019.805						118.03240204	Well_11
4020.005						118.12850189	Well_11
4020.205						118.13020325	Well_11
4020.405						118.10720062	Well_11
4020.605						118.13050079	Well_11
4020.805						118.15399933	Well_11
4021.005						118.21320343	Well_11
4021.205						118.28050232	Well_11
4021.405						118.3690033	Well_11
4021.605						118.36740112	Well_11
4021.805						118.35030365	Well_11
4022.005						118.38059998	Well_11
4022.205						118.4068985	Well_11
4022.405						118.40940094	Well_11
4022.605						118.36489868	Well_11
4022.805						118.31800079	Well_11
4023.005						118.24749756	Well_11
4023.205						118.17120361	Well_11
4023.405						118.04579926	Well_11
4023.605						117.96089935	Well_11
4023.805						117.91130066	Well_11
4024.005						117.92769623	Well_11
4024.205						117.97889709	Well_11
4024.405						118.01309967	Well_11
4024.605						117.99210358	Well_11
4024.805						117.98860168	Well_11
4025.005						118.02429962	Well_11
4025.205						118.19499969	Well_11
4025.405						118.29090118	Well_11
4025.605						118.34719849	Well_11
4025.805						118.17880249	Well_11
4026.005						118.03469849	Well_11
