MD	GR	PHIE	PHI_ALT	DTS	DTCO	RHOB	WELL
2406.8877							Well_5
2407.0877							Well_5
2407.2877							Well_5
2407.4877							Well_5
2407.6877							Well_5
2407.8877							Well_5
2408.0877							Well_5
2408.2877							Well_5
2408.4877							Well_5
2408.6877							Well_5
2408.8877							Well_5
2409.0877							Well_5
2409.2877							Well_5
2409.4877							Well_5
2409.6877							Well_5
2409.8877							Well_5
2410.0877							Well_5
2410.2877							Well_5
2410.4877							Well_5
2410.6877							Well_5
2410.8877							Well_5
2411.0877							Well_5
2411.2877							Well_5
2411.4877							Well_5
2411.6877							Well_5
2411.8877							Well_5
2412.0877							Well_5
2412.2877							Well_5
2412.4877							Well_5
2412.6877							Well_5
2412.8877							Well_5
2413.0877							Well_5
2413.2877							Well_5
2413.4877							Well_5
2413.6877							Well_5
2413.8877							Well_5
2414.0877							Well_5
2414.2877							Well_5
2414.4877							Well_5
2414.6877							Well_5
2414.8877							Well_5
2415.0877							Well_5
2415.2877							Well_5
2415.4877							Well_5
2415.6877							Well_5
2415.8877							Well_5
2416.0877							Well_5
2416.2877							Well_5
2416.4877							Well_5
2416.6877							Well_5
2416.8877							Well_5
2417.0877							Well_5
2417.2877							Well_5
2417.4877							Well_5
2417.6877							Well_5
2417.8877							Well_5
2418.0877							Well_5
2418.2877							Well_5
2418.4877							Well_5
2418.6877							Well_5
2418.8877							Well_5
2419.0877							Well_5
2419.2877							Well_5
2419.4877							Well_5
2419.6877							Well_5
2419.8877							Well_5
2420.0877							Well_5
2420.2877							Well_5
2420.4877							Well_5
2420.6877							Well_5
2420.8877							Well_5
2421.0877							Well_5
2421.2877							Well_5
2421.4877							Well_5
2421.6877							Well_5
2421.8877							Well_5
2422.0877							Well_5
2422.2877							Well_5
2422.4877							Well_5
2422.6877							Well_5
2422.8877							Well_5
2423.0877							Well_5
2423.2877							Well_5
2423.4877							Well_5
2423.6877							Well_5
2423.8877							Well_5
2424.0877							Well_5
2424.2877							Well_5
2424.4877							Well_5
2424.6877							Well_5
2424.8877							Well_5
2425.0877							Well_5
2425.2877							Well_5
2425.4877							Well_5
2425.6877							Well_5
2425.8877							Well_5
2426.0877							Well_5
2426.2877							Well_5
2426.4877							Well_5
2426.6877							Well_5
2426.8877							Well_5
2427.0877							Well_5
2427.2877							Well_5
2427.4877							Well_5
2427.6877							Well_5
2427.8877							Well_5
2428.0877							Well_5
2428.2877							Well_5
2428.4877							Well_5
2428.6877							Well_5
2428.8877							Well_5
2429.0877							Well_5
2429.2877							Well_5
2429.4877							Well_5
2429.6877							Well_5
2429.8877							Well_5
2430.0877							Well_5
2430.2877							Well_5
2430.4877							Well_5
2430.6877							Well_5
2430.8877							Well_5
2431.0877							Well_5
2431.2877							Well_5
2431.4877							Well_5
2431.6877							Well_5
2431.8877							Well_5
2432.0877							Well_5
2432.2877							Well_5
2432.4877							Well_5
2432.6877							Well_5
2432.8877							Well_5
2433.0877							Well_5
2433.2877							Well_5
2433.4877							Well_5
2433.6877							Well_5
2433.8877							Well_5
2434.0877							Well_5
2434.2877							Well_5
2434.4877							Well_5
2434.6877							Well_5
2434.8877							Well_5
2435.0877							Well_5
2435.2877							Well_5
2435.4877							Well_5
2435.6877							Well_5
2435.8877							Well_5
2436.0877							Well_5
2436.2877							Well_5
2436.4877							Well_5
2436.6877							Well_5
2436.8877							Well_5
2437.0877							Well_5
2437.2877							Well_5
2437.4877							Well_5
2437.6877							Well_5
2437.8877							Well_5
2438.0877							Well_5
2438.2877							Well_5
2438.4877							Well_5
2438.6877							Well_5
2438.8877							Well_5
2439.0877							Well_5
2439.2877							Well_5
2439.4877							Well_5
2439.6877							Well_5
2439.8877							Well_5
2440.0877							Well_5
2440.2877							Well_5
2440.4877							Well_5
2440.6877							Well_5
2440.8877							Well_5
2441.0877							Well_5
2441.2877							Well_5
2441.4877							Well_5
2441.6877							Well_5
2441.8877							Well_5
2442.0877							Well_5
2442.2877							Well_5
2442.4877							Well_5
2442.6877							Well_5
2442.8877							Well_5
2443.0877							Well_5
2443.2877							Well_5
2443.4877							Well_5
2443.6877							Well_5
2443.8877							Well_5
2444.0877							Well_5
2444.2877							Well_5
2444.4877							Well_5
2444.6877							Well_5
2444.8877							Well_5
2445.0877							Well_5
2445.2877							Well_5
2445.4877							Well_5
2445.6877							Well_5
2445.8877							Well_5
2446.0877							Well_5
2446.2877							Well_5
2446.4877							Well_5
2446.6877							Well_5
2446.8877							Well_5
2447.0877							Well_5
2447.2877							Well_5
2447.4877							Well_5
2447.6877							Well_5
2447.8877							Well_5
2448.0877							Well_5
2448.2877							Well_5
2448.4877							Well_5
2448.6877							Well_5
2448.8877							Well_5
2449.0877							Well_5
2449.2877							Well_5
2449.4877							Well_5
2449.6877							Well_5
2449.8877							Well_5
2450.0877							Well_5
2450.2877							Well_5
2450.4877							Well_5
2450.6877							Well_5
2450.8877							Well_5
2451.0877							Well_5
2451.2877							Well_5
2451.4877							Well_5
2451.6877							Well_5
2451.8877							Well_5
2452.0877							Well_5
2452.2877							Well_5
2452.4877							Well_5
2452.6877							Well_5
2452.8877							Well_5
2453.0877							Well_5
2453.2877							Well_5
2453.4877							Well_5
2453.6877							Well_5
2453.8877							Well_5
2454.0877							Well_5
2454.2877							Well_5
2454.4877							Well_5
2454.6877							Well_5
2454.8877							Well_5
2455.0877							Well_5
2455.2877							Well_5
2455.4877							Well_5
2455.6877							Well_5
2455.8877							Well_5
2456.0877							Well_5
2456.2877							Well_5
2456.4877							Well_5
2456.6877							Well_5
2456.8877							Well_5
2457.0877							Well_5
2457.2877							Well_5
2457.4877							Well_5
2457.6877							Well_5
2457.8877							Well_5
2458.0877							Well_5
2458.2877							Well_5
