MD	PHIE	GR	RHOB	DTCO	DTS	WELL
3270.53403				66.423126221	121.49269867	Well_7
3270.73403				66.505149841	121.58583069	Well_7
3270.93403				66.404518127	121.79660034	Well_7
3271.13403				66.555763245	122.197052	Well_7
3271.33403				66.635276794	122.28360748	Well_7
3271.53403				66.97114563	122.30289459	Well_7
3271.73403				67.110992432	122.46063995	Well_7
3271.93403				67.133773804	122.42790222	Well_7
3272.13403				67.121315002	122.43473816	Well_7
3272.33403				67.096641541	122.30284882	Well_7
3272.53403				66.920120239	122.16640472	Well_7
3272.73403				66.682579041	122.16555023	Well_7
3272.93403				66.639770508	122.11493683	Well_7
3273.13403				66.677055359	122.11080933	Well_7
3273.33403				66.713867188	122.08809662	Well_7
3273.53403				66.681526184	122.09283447	Well_7
3273.73403				66.646354675	122.15721893	Well_7
3273.93403				66.582939148	122.16247559	Well_7
3274.13403				66.770072937	122.18761444	Well_7
3274.33403				66.639518738	122.19321442	Well_7
3274.53403				66.674369812	122.12749481	Well_7
3274.73403				66.712776184	122.19644165	Well_7
3274.93403				67.029785156	122.3074646	Well_7
3275.13403				67.088691711	122.28929138	Well_7
3275.33403				67.086402893	122.29859924	Well_7
3275.53403				67.057029724	122.3243866	Well_7
3275.73403				66.917427063	122.27780151	Well_7
3275.93403				66.694541931	122.19356537	Well_7
3276.13403				66.522712708	122.03076172	Well_7
3276.33403				66.494911194	121.95176697	Well_7
3276.53403				66.480895996	122.02554321	Well_7
3276.73403				66.473136902	122.06394958	Well_7
3276.93403				66.465240479	122.08911896	Well_7
3277.13403				66.509674072	122.06478882	Well_7
3277.33403				66.47883606	122.15518951	Well_7
3277.53403				66.516685486	122.20986938	Well_7
3277.73403				66.514022827	122.21121979	Well_7
3277.93403				66.550064087	122.2401123	Well_7
3278.13403				66.533782959	122.22714996	Well_7
3278.33403				66.631660461	122.17792511	Well_7
3278.53403				66.731697083	122.17280579	Well_7
3278.73403				66.566360474	122.35480499	Well_7
3278.93403				66.741020203	122.40753174	Well_7
3279.13403				66.842132568	122.39543152	Well_7
3279.33403				66.646530151	122.43537903	Well_7
3279.53403				66.991775513	122.63906097	Well_7
3279.73403				67.053726196	122.81167603	Well_7
3279.93403				67.092285156	122.96234894	Well_7
3280.13403				67.047317505	123.06694794	Well_7
3280.33403				66.829963684	123.03253937	Well_7
3280.53403				66.829856873	122.90642548	Well_7
3280.73403				66.501235962	122.71536255	Well_7
3280.93403				66.352592468	122.50965881	Well_7
3281.13403				66.522262573	122.37194824	Well_7
