MD	GR	RHOB	PHIE	DTCO	DTS	WELL
5611.6148	37.555652618	2.5608401299	0.0928386971	59.386917114	107.55498505	Well_6
5611.8148	33.42212677	2.5462665558	0.0789946094	59.707778931	107.66991425	Well_6
5612.0148	31.826635361	2.5297205448	0.0797162876	59.9114151	107.64400482	Well_6
5612.2148	34.231380463	2.5249016285	0.1036116555	59.815494537	107.58860779	Well_6
5612.4148	36.783145905	2.5357778072	0.1116407961	59.480144501	107.59312439	Well_6
5612.6148	36.709606171	2.55073452	0.1132985204	59.174434662	107.95687103	Well_6
5612.8148	33.337963104	2.5459399223	0.1201806441	59.350387573	109.02177429	Well_6
5613.0148	28.31621933	2.5205476284	0.1258271933	60.069671631	110.76501465	Well_6
5613.2148	24.841835022	2.4969677925	0.1244146302	60.884853363	112.67024994	Well_6
5613.4148	22.410007477	2.4930925369	0.1224560365	61.263076782	113.86727142	Well_6
5613.6148	20.732543945	2.4991366863	0.1321246177	61.339302063	114.30838013	Well_6
5613.8148	19.777362823	2.50111413	0.1403703988	61.547660828	114.37073517	Well_6
5614.0148	18.181470871	2.4892821312	0.1386076659	62.148590088	114.40661621	Well_6
5614.2148	16.101970673	2.4725503922	0.1381964535	62.844707489	114.44926453	Well_6
5614.4148	14.957588196	2.4689993858	0.1378459483	63.275661469	114.42906189	Well_6
5614.6148	15.279951096	2.4775745869	0.1374798864	63.199649811	114.22988129	Well_6
5614.8148	15.648474693	2.4844222069	0.1447604001	62.877445221	113.84285736	Well_6
5615.0148	16.973806381	2.4933614731	0.1562862843	62.532814026	113.30183411	Well_6
5615.2148	19.844882965	2.5004551411	0.1482207179	62.254451752	112.52030182	Well_6
5615.4148	22.255895615	2.4967327118	0.1308155954	61.959281921	111.4327774	Well_6
5615.6148	22.568998337	2.4954857826	0.1227501631	61.447620392	110.11769104	Well_6
5615.8148	21.236497879	2.5176548958	0.1208716854	60.466407776	108.91326141	Well_6
5616.0148	20.636205673	2.545258522	0.1171559691	59.14679718	108.14929199	Well_6
5616.2148	21.10087204	2.5579993725	0.1144409478	58.080791473	107.79220581	Well_6
5616.4148	21.959308624	2.5620920658	0.1137468144	57.868438721	107.68146515	Well_6
5616.6148	22.649522781	2.5567352772	0.1054758877	58.476348877	107.65288544	Well_6
5616.8148	23.223484039	2.5422999859	0.1071902215	59.218647003	107.70568848	Well_6
5617.0148	23.209308624	2.528668642	0.1154676452	59.616374969	107.90145874	Well_6
5617.2148	22.882419586	2.5309822559	0.1115774959	59.693973541	108.21447754	Well_6
5617.4148	22.203191757	2.5395212173	0.1147819981	59.83662796	108.6725235	Well_6
5617.6148	20.63269043	2.5367472172	0.1240150109	60.214561462	109.37685394	Well_6
5617.8148	20.369215012	2.5244250298	0.1197653413	60.736881256	110.46029663	Well_6
5618.0148	21.6804142	2.5145850182	0.1218592972	61.233078003	111.77037048	Well_6
5618.2148	23.380752563	2.5056071281	0.136838004	61.770442963	113.15875244	Well_6
5618.4148	24.137447357	2.4953160286	0.1454325914	62.547496796	114.33242798	Well_6
5618.6148	23.109560013	2.478525877	0.1518316418	63.506507874	115.29122162	Well_6
5618.8148	21.474079132	2.4563610554	0.1605263501	64.280448914	115.93257904	Well_6
5619.0148	23.759103775	2.4451913834	0.1690788418	64.346038818	115.99918365	Well_6
5619.2148	29.461629868	2.4579315186	0.1695302576	63.620567322	115.51189423	Well_6
5619.4148	32.668556213	2.4873330593	0.1474858969	62.57529068	114.62108612	Well_6
5619.6148	32.334236145	2.5137126446	0.130105108	61.680706024	113.37077332	Well_6
5619.8148	32.259113312	2.5197174549	0.1266122013	61.040382385	112.06452942	Well_6
5620.0148	32.515899658	2.5203802586	0.1209453121	60.398727417	111.01609802	Well_6
5620.2148	32.275001526	2.5270545483	0.1132344007	59.656570435	110.19154358	Well_6
5620.4148	31.881141663	2.5298187733	0.1070575863	59.018810272	109.43872833	Well_6
5620.6148	31.476280212	2.5332100391	0.1082737744	58.758327484	108.76000977	Well_6
5620.8148	31.50793457	2.550296545	0.1062860712	58.954944611	108.26830292	Well_6
5621.0148	30.171937943	2.5692629814	0.1026180759	59.326049805	107.99314117	Well_6
5621.2148	27.348823547	2.5788636208	0.105039902	59.361766815	107.89466858	Well_6
5621.4148	24.504953384	2.5825705528	0.1005910337	58.994701385	107.96396637	Well_6
5621.6148	21.995981216	2.5671393871	0.1006782725	58.733127594	108.18464661	Well_6
5621.8148	19.582925797	2.5407323837	0.1090215594	59.069992065	108.5659256	Well_6
5622.0148	18.336219788	2.5216112137	0.1118830293	59.859062195	109.18963623	Well_6
5622.2148	18.647958755	2.508279562	0.1115539372	60.60667038	110.05513	Well_6
5622.4148	18.415843964	2.5008201599	0.1181972101	61.088752747	111.02707672	Well_6
5622.6148	17.96616745	2.5023341179	0.124334164	61.497341156	111.90927124	Well_6
5622.8148	17.77571106	2.5029125214	0.1292302608	61.898868561	112.50637054	Well_6
5623.0148	17.804855347	2.5022873878	0.1326263249	62.140148163	112.66928864	Well_6
5623.2148	18.191663742	2.5065131187	0.1282003969	62.054279327	112.37718201	Well_6
5623.4148	19.431352615	2.5143370628	0.1174159497	61.497528076	111.57980347	Well_6
5623.6148	20.54164505	2.5383694172	0.1113729253	60.422618866	110.53353882	Well_6
5623.8148	19.848611832	2.5673320293	0.1145822033	59.314510345	109.61606598	Well_6
5624.0148	19.666294098	2.5715315342	0.1179198846	58.752601624	108.85706329	Well_6
5624.2148	22.256565094	2.555983305	0.1103854477	58.865463257	108.09301758	Well_6
5624.4148	25.790483475	2.5535140038	0.0976738408	58.922386169	107.219841	Well_6
5624.6148	29.172332764	2.5609881878	0.0912566036	58.586578369	106.18792725	Well_6
5624.8148	32.147258759	2.5677549839	0.0866864547	58.140419006	105.0721817	Well_6
5625.0148	34.217300415	2.5764036179	0.0826042816	57.883773804	104.17688751	Well_6
5625.2148	33.837814331	2.587023735	0.0845502764	57.641372681	103.63239288	Well_6
5625.4148	31.682567596	2.5970335007	0.0864952207	57.370349884	103.40892029	Well_6
5625.6148	28.268861771	2.5986683369	0.0923514292	57.291919708	103.45848846	Well_6
5625.8148	24.132474899	2.5880110264	0.1040209606	57.504047394	103.81156921	Well_6
5626.0148	22.240943909	2.5727300644	0.1157763526	57.956958771	104.55570984	Well_6
5626.2148	23.963979721	2.5573706627	0.1133103073	58.557289124	105.58527374	Well_6
5626.4148	26.689790726	2.5470385551	0.1082845256	59.067237854	106.48412323	Well_6
5626.6148	26.916828156	2.5519256592	0.1120427772	59.201927185	106.90338135	Well_6
5626.8148	25.635293961	2.5575435162	0.1082641706	58.976825714	106.95700836	Well_6
5627.0148	26.105661392	2.5474700928	0.1008328721	58.87077713	107.14761353	Well_6
5627.2148	27.897167206	2.5388901234	0.0996249169	59.117584229	107.52861786	Well_6
5627.4148	28.165128708	2.5479571819	0.096667923	59.326507568	107.83475494	Well_6
5627.6148	25.926992416	2.5609385967	0.0921096727	58.992424011	108.08197784	Well_6
5627.8148	22.228830338	2.5690095425	0.0819033086	58.334564209	108.52910614	Well_6
5628.0148	17.809989929	2.5581190586	0.0785314962	58.301383972	109.36264801	Well_6
5628.2148	14.802036285	2.5318992138	0.0955878124	59.211997986	110.37588501	Well_6
5628.4148	14.054460526	2.5122177601	0.124479875	60.218460083	111.0169754	Well_6
5628.6148	14.024619102	2.5116500854	0.1460779458	60.044857025	110.7793045	Well_6
5628.8148	14.192202568	2.5373339653	0.1438593715	58.673606873	109.65668488	Well_6
5629.0148	16.106042862	2.5815012455	0.119308807	57.332416534	108.28416443	Well_6
5629.2148	19.71276474	2.5988297462	0.0977020189	56.923297882	106.89785767	Well_6
5629.4148	23.908382416	2.5848283768	0.0887643248	57.098628998	105.4593811	Well_6
5629.6148	30.190181732	2.5893018246	0.0911565945	56.857387543	103.84602356	Well_6
5629.8148	37.14913559	2.6164963245	0.0873633772	55.989925385	102.07085419	Well_6
5630.0148	40.638412476	2.6297101974	0.0763448775	55.067569733	100.72019958	Well_6
5630.2148	40.894935608	2.6238000393	0.0706376657	54.546665192	100.24429321	Well_6
5630.4148	38.766468048	2.6138575077	0.0681970194	54.406150818	100.67809296	Well_6
5630.6148	35.81231308	2.6128032207	0.0637384579	54.686008453	101.73583984	Well_6
5630.8148	34.518981934	2.6138529778	0.060755197	55.393062592	102.78933716	Well_6
5631.0148	35.762645721	2.6037566662	0.0625135303	56.302127838	103.67769623	Well_6
5631.2148	37.368534088	2.5912182331	0.0639668033	57.091629028	104.51422119	Well_6
5631.4148	36.25655365	2.58817029	0.0629533678	57.716682434	105.38543701	Well_6
5631.6148	32.893390656	2.5855848789	0.0690504983	58.189605713	106.08908081	Well_6
5631.8148	29.524208069	2.5719912052	0.0774148479	58.224094391	105.91501617	Well_6
5632.0148	28.580518723	2.5730621815	0.0847199634	57.586582184	105.27973175	Well_6
5632.2148	30.016786575	2.601367712	0.0868261158	56.608345032	104.37356567	Well_6
5632.4148	33.733718872	2.6302471161	0.0809213966	55.753074646	102.7828064	Well_6
5632.6148	40.301094055	2.6360120773	0.0700923577	55.121688843	100.51226807	Well_6
5632.8148	46.824424744	2.6330096722	0.064421691	54.483276367	98.760673523	Well_6
5633.0148	49.450031281	2.632651329	0.0622075796	53.911334991	98.138275146	Well_6
5633.2148	43.696281433	2.6330559254	0.0596484654	53.810192108	98.703697205	Well_6
5633.4148	35.350482941	2.6283791065	0.0604957975	54.150432587	100.00510406	Well_6
5633.6148	31.089776993	2.6242616177	0.0638901666	54.596591949	101.20637512	Well_6
5633.8148	30.504495621	2.623540163	0.0649002939	54.78717041	101.90228271	Well_6
5634.0148	31.060945511	2.6212770939	0.0609555803	54.763889313	102.03791809	Well_6
5634.2148	32.867927551	2.617002964	0.0578827597	54.624668121	101.64596558	Well_6
5634.4148	33.886474609	2.6182219982	0.0599731803	54.398605347	100.90376282	Well_6
5634.6148	32.097900391	2.6282653809	0.0638219118	54.101291656	100.0953064	Well_6
5634.8148	30.279834747	2.6400985718	0.0656355023	53.806472778	99.547912598	Well_6
5635.0148	30.812339783	2.6395380497	0.0657422692	53.760681152	99.311553955	Well_6
5635.2148	31.326503754	2.618588686	0.0749079734	54.150455475	99.681747437	Well_6
5635.4148	28.552383423	2.6012132168	0.0852732137	54.727069855	99.78666687	Well_6
5635.6148	26.332426071	2.6074864864	0.0823064446	54.849437714	99.121612549	Well_6
5635.8148	27.916015625	2.6247386932	0.068483755	54.142818451	98.377098083	Well_6
5636.0148	29.113367081	2.6354117393	0.0568487942	53.175357819	97.967575073	Well_6
5636.2148	29.239532471	2.6392781734	0.0581243187	52.606525421	97.662818909	Well_6
5636.4148	30.672512054	2.6366753578	0.0599040128	52.697967529	97.536193848	Well_6
5636.6148	33.451465607	2.6286008358	0.0614438951	52.96478653	97.66355896	Well_6
5636.8148	35.749874115	2.6256210804	0.0590623245	53.145061493	97.7970047	Well_6
5637.0148	35.879436493	2.6316735744	0.0526442789	53.230258942	98.022499084	Well_6
5637.2148	34.598693848	2.6363780499	0.0482926928	53.396121979	98.584724426	Well_6
5637.4148	32.665653229	2.630797863	0.05333988	53.71188736	99.461456299	Well_6
5637.6148	31.455945969	2.6177837849	0.0620695576	54.132564545	100.68125153	Well_6
5637.8148	31.929384232	2.6156630516	0.0631977096	54.49829483	101.67131805	Well_6
5638.0148	32.505237579	2.6267864704	0.0627677441	54.682762146	102.01117706	Well_6
5638.2148	31.500022888	2.6360156536	0.064661786	54.678714752	102.01754761	Well_6
5638.4148	30.240125656	2.6303150654	0.0645921975	54.61492157	102.12458038	Well_6
5638.6148	30.523870468	2.622590065	0.0576211475	54.619998932	102.33701324	Well_6
5638.8148	31.56121254	2.6241261959	0.0533900596	54.808338165	102.47366333	Well_6
5639.0148	32.202789307	2.6232116222	0.0526689142	55.264850616	102.71098328	Well_6
5639.2148	33.068973541	2.6176736355	0.0509525649	55.842632294	102.93512726	Well_6
5639.4148	32.493785858	2.6215503216	0.0502789244	56.290653229	103.13700104	Well_6
5639.6148	29.275465012	2.6239290237	0.0481024794	56.447231293	103.36477661	Well_6
5639.8148	27.033824921	2.6149978638	0.0421496555	56.547142029	103.9114151	Well_6
5640.0148	26.656953812	2.6100633144	0.0439685397	56.743442535	104.61481476	Well_6
5640.2148	26.553443909	2.6140305996	0.0519904643	56.937427521	105.45172119	Well_6
5640.4148	25.733978271	2.6211769581	0.0583696254	56.958900452	105.98027802	Well_6
5640.6148	23.826875687	2.622764349	0.0602190681	56.752075195	105.91017914	Well_6
5640.8148	21.01002121	2.6164386272	0.0581745431	56.251796722	105.48168945	Well_6
5641.0148	18.028736115	2.6140999794	0.0551053286	55.588382721	105.32912445	Well_6
5641.2148	15.749999046	2.6133394241	0.0551089086	55.123271942	104.78450012	Well_6
5641.4148	15.42440033	2.6094968319	0.0588435046	55.106941223	103.34207153	Well_6
5641.6148	17.733573914	2.6019582748	0.0639081597	55.189300537	101.7854538	Well_6
5641.8148	22.732587814	2.5975179672	0.0658728853	54.937973022	100.35852814	Well_6
5642.0148	30.021617889	2.6055102348	0.0621199235	54.472290039	99.406692505	Well_6
5642.2148	36.347118378	2.6086912155	0.0605151281	54.321681976	99.188735962	Well_6
5642.4148	38.313102722	2.6038267612	0.0664374456	54.571792603	99.6145401	Well_6
5642.6148	36.692436218	2.6110219955	0.071431078	54.964836121	100.46434021	Well_6
5642.8148	33.751411438	2.6265788078	0.0683155656	55.196815491	101.36641693	Well_6
5643.0148	30.816043854	2.6317625046	0.0589525774	55.228179932	102.04612732	Well_6
5643.2148	29.478162766	2.6326746941	0.0578459911	55.130794525	102.40486145	Well_6
5643.4148	30.406755447	2.6350314617	0.0631304309	55.113586426	102.49575043	Well_6
5643.6148	31.343168259	2.6328203678	0.0675804541	55.276405334	102.54029846	Well_6
5643.8148	31.606731415	2.6316905022	0.0589635335	55.487922668	102.65911865	Well_6
5644.0148	30.916309357	2.6376545429	0.0582208857	55.538970947	102.8645401	Well_6
5644.2148	29.823635101	2.6416409016	0.0612653568	55.42805481	102.98890686	Well_6
5644.4148	29.500364304	2.635518074	0.0621380769	55.312473297	103.00723267	Well_6
5644.6148	29.533655167	2.6271903515	0.056150917	55.395011902	103.08409882	Well_6
5644.8148	30.32359314	2.6240983009	0.0527331531	55.973800659	103.58703613	Well_6
5645.0148	34.213039398	2.611430645	0.0542040169	57.456111908	104.7329483	Well_6
5645.2148	43.425827026	2.5837271214	0.0542032234	59.739273071	106.2442627	Well_6
5645.4148	52.523025513	2.5633707047	0.0483338162	61.337299347	107.13388062	Well_6
5645.6148	52.263336182	2.5670104027	0.0412009917	60.919090271	107.00971985	Well_6
5645.8148	44.375137329	2.5954947472	0.0322362147	58.774600983	106.13712311	Well_6
5646.0148	37.239803314	2.6165235043	0.0308849625	56.918483734	105.12470245	Well_6
5646.2148	33.317508698	2.6143171787	0.04028989	56.431632996	104.45036316	Well_6
5646.4148	30.897010803	2.6076569557	0.0555423722	56.804111481	104.19985199	Well_6
5646.6148	30.659929276	2.6051938534	0.0607678369	57.028507233	104.16766357	Well_6
5646.8148	32.715816498	2.6055810452	0.0599880777	56.83171463	104.06053925	Well_6
5647.0148	35.239196777	2.6134426594	0.0627554134	56.356655121	103.80226135	Well_6
5647.2148	36.309177399	2.626750946	0.0655642524	55.787372589	103.41988373	Well_6
5647.4148	35.602355957	2.6366126537	0.0645587444	55.548728943	103.04930878	Well_6
5647.6148	35.037811279	2.6404919624	0.0601409338	55.90165329	102.92499542	Well_6
5647.8148	34.264732361	2.631144762	0.0562900417	56.662155151	103.44359589	Well_6
5648.0148	32.073196411	2.6114771366	0.0591052584	57.440677643	104.96157074	Well_6
5648.2148	29.668777466	2.5807907581	0.0723060519	58.76751709	107.60066223	Well_6
