MD	GR	DTCO	PHIE	RHOB	DTS	WELL
5232.594	27.171625137	72.637145996	0.2149876058	2.302179575	139.75360107	Well_9
5232.794	27.415916443	70.353744507	0.2164054513	2.2957360744	139.5440979	Well_9
5232.994	25.939823151	65.889122009	0.2063764185	2.3096969128	139.25480652	Well_9
5233.194	27.890256882	62.808135986	0.1824795008	2.3478629589	138.28869629	Well_9
5233.394	32.882938385	62.170703888	0.1589446664	2.3971443176	135.540802	Well_9
5233.594	34.874778748	63.545906067	0.1737522781	2.3931593895	131.52490234	Well_9
5233.794	32.22158432	68.268096924	0.2034389377	2.3367707729	125.27249908	Well_9
5233.994	29.565282822	74.08971405	0.2176813781	2.3001189232	121.12950134	Well_9
5234.194	28.202524185	78.346893311	0.2264608741	2.2829027176	122.84140015	Well_9
5234.394	25.795505524	81.187965393	0.2271308899	2.2750258446	126.8132019	Well_9
5234.594	25.333631516	81.131568909	0.2216895223	2.2822480202	133.79260254	Well_9
5234.794	27.744838715	80.865653992	0.218905434	2.2910950184	141.27810669	Well_9
5234.994	30.371282578	81.469024658	0.2263962179	2.2843062878	144.29229736	Well_9
5235.194	32.415733337	82.01322937	0.2311490029	2.2703666687	145.85360718	Well_9
5235.394	34.273387909	81.687294006	0.2269895226	2.2710223198	147.53999329	Well_9
5235.594	34.833557129	80.575439453	0.2225046009	2.2841172218	148.01480103	Well_9
5235.794	34.821437836	79.85710907	0.2221674621	2.296287775	148.03819275	Well_9
5235.994	33.319923401	80.559165955	0.2197086066	2.3036968708	147.94709778	Well_9
5236.194	30.941095352	82.234077454	0.2170573324	2.3158519268	148.11889648	Well_9
5236.394	30.147512436	83.623565674	0.2127761096	2.3241243362	148.44619751	Well_9
5236.594	29.614139557	84.161323547	0.2093040645	2.3167226315	149.31629944	Well_9
5236.794	29.803911209	83.829681396	0.2052188963	2.303571701	149.15530396	Well_9
5236.994	28.670198441	81.280281067	0.2010731995	2.3076131344	148.16169739	Well_9
5237.194	25.749681473	75.310264587	0.1947138757	2.3427557945	146.95449829	Well_9
5237.394	23.43813324	71.666992188	0.1850061417	2.386547327	145.33500671	Well_9
5237.594	22.497667313	68.198669434	0.1787539124	2.4100983143	141.68649292	Well_9
5237.794	21.433141708	65.378074646	0.173067674	2.4272334576	136.64059448	Well_9
5237.994	25.019804001	65.197738647	0.1642227024	2.4208323956	132.27200317	Well_9
5238.194	33.858112335	67.212677002	0.1660202295	2.3794894218	130.27999878	Well_9
5238.394	39.713802338	69.72542572	0.17838642	2.3492767811	131.19270325	Well_9
5238.594	43.217628479	73.805488586	0.1950749308	2.3339362144	133.64460754	Well_9
5238.794	43.75736618	75.910934448	0.2093466669	2.3140115738	135.95550537	Well_9
5238.994	43.755069733	76.515220642	0.2164587975	2.3068063259	138.60380554	Well_9
5239.194	42.760795593	76.779373169	0.218277365	2.3250930309	140.12120056	Well_9
