MD	PHIE	GR	DTCO	RHOB	PHI_ALT	DTS	WELL
2495.2955							Well_2
2495.4955							Well_2
2495.6955							Well_2
2495.8955							Well_2
2496.0955							Well_2
2496.2955							Well_2
2496.4955							Well_2
2496.6955							Well_2
2496.8955							Well_2
2497.0955							Well_2
2497.2955							Well_2
2497.4955							Well_2
2497.6955							Well_2
2497.8955							Well_2
2498.0955							Well_2
2498.2955							Well_2
2498.4955							Well_2
2498.6955							Well_2
2498.8955							Well_2
2499.0955							Well_2
2499.2955							Well_2
2499.4955							Well_2
2499.6955							Well_2
2499.8955							Well_2
2500.0955							Well_2
2500.2955							Well_2
2500.4955							Well_2
2500.6955							Well_2
2500.8955							Well_2
2501.0955							Well_2
2501.2955							Well_2
2501.4955							Well_2
2501.6955							Well_2
2501.8955							Well_2
2502.0955							Well_2
2502.2955							Well_2
2502.4955							Well_2
2502.6955							Well_2
2502.8955							Well_2
2503.0955							Well_2
2503.2955							Well_2
2503.4955							Well_2
2503.6955							Well_2
2503.8955							Well_2
2504.0955							Well_2
2504.2955							Well_2
2504.4955							Well_2
2504.6955							Well_2
2504.8955							Well_2
2505.0955							Well_2
2505.2955							Well_2
2505.4955							Well_2
2505.6955							Well_2
2505.8955							Well_2
2506.0955							Well_2
2506.2955							Well_2
2506.4955							Well_2
2506.6955							Well_2
2506.8955							Well_2
2507.0955							Well_2
2507.2955							Well_2
2507.4955							Well_2
2507.6955							Well_2
2507.8955							Well_2
2508.0955							Well_2
2508.2955							Well_2
2508.4955							Well_2
2508.6955							Well_2
2508.8955							Well_2
2509.0955							Well_2
2509.2955							Well_2
2509.4955							Well_2
2509.6955							Well_2
2509.8955							Well_2
2510.0955							Well_2
2510.2955							Well_2
2510.4955							Well_2
2510.6955							Well_2
2510.8955							Well_2
2511.0955							Well_2
2511.2955							Well_2
2511.4955							Well_2
2511.6955							Well_2
2511.8955							Well_2
2512.0955							Well_2
2512.2955							Well_2
2512.4955							Well_2
2512.6955							Well_2
2512.8955							Well_2
2513.0955							Well_2
2513.2955							Well_2
2513.4955							Well_2
2513.6955							Well_2
2513.8955							Well_2
2514.0955							Well_2
2514.2955							Well_2
2514.4955							Well_2
2514.6955							Well_2
2514.8955							Well_2
2515.0955							Well_2
2515.2955							Well_2
2515.4955							Well_2
2515.6955							Well_2
2515.8955							Well_2
2516.0955							Well_2
2516.2955							Well_2
2516.4955							Well_2
2516.6955							Well_2
2516.8955							Well_2
2517.0955							Well_2
2517.2955							Well_2
2517.4955							Well_2
2517.6955							Well_2
2517.8955							Well_2
2518.0955							Well_2
2518.2955							Well_2
2518.4955							Well_2
2518.6955							Well_2
2518.8955							Well_2
2519.0955							Well_2
2519.2955							Well_2
2519.4955							Well_2
2519.6955							Well_2
2519.8955							Well_2
2520.0955							Well_2
2520.2955							Well_2
2520.4955							Well_2
2520.6955							Well_2
2520.8955							Well_2
2521.0955							Well_2
2521.2955							Well_2
2521.4955							Well_2
2521.6955							Well_2
2521.8955							Well_2
2522.0955							Well_2
2522.2955							Well_2
2522.4955							Well_2
2522.6955							Well_2
2522.8955							Well_2
2523.0955							Well_2
2523.2955							Well_2
2523.4955							Well_2
2523.6955							Well_2
2523.8955							Well_2
2524.0955							Well_2
2524.2955							Well_2
2524.4955							Well_2
2524.6955							Well_2
2524.8955							Well_2
2525.0955							Well_2
2525.2955							Well_2
2525.4955							Well_2
2525.6955							Well_2
2525.8955							Well_2
2526.0955							Well_2
2526.2955							Well_2
2526.4955							Well_2
2526.6955							Well_2
2526.8955							Well_2
2527.0955							Well_2
2527.2955							Well_2
2527.4955							Well_2
2527.6955							Well_2
2527.8955							Well_2
2528.0955							Well_2
2528.2955							Well_2
2528.4955							Well_2
2528.6955							Well_2
2528.8955							Well_2
2529.0955							Well_2
2529.2955							Well_2
2529.4955							Well_2
2529.6955							Well_2
2529.8955							Well_2
2530.0955							Well_2
2530.2955							Well_2
2530.4955							Well_2
2530.6955							Well_2
2530.8955							Well_2
2531.0955							Well_2
2531.2955							Well_2
2531.4955							Well_2
2531.6955							Well_2
2531.8955							Well_2
2532.0955							Well_2
2532.2955							Well_2
2532.4955							Well_2
2532.6955							Well_2
2532.8955							Well_2
2533.0955							Well_2
2533.2955							Well_2
2533.4955							Well_2
2533.6955							Well_2
2533.8955							Well_2
2534.0955							Well_2
2534.2955							Well_2
2534.4955							Well_2
2534.6955							Well_2
2534.8955							Well_2
2535.0955							Well_2
2535.2955							Well_2
2535.4955							Well_2
2535.6955							Well_2
2535.8955							Well_2
2536.0955							Well_2
2536.2955							Well_2
2536.4955							Well_2
2536.6955							Well_2
2536.8955							Well_2
2537.0955							Well_2
2537.2955							Well_2
2537.4955							Well_2
2537.6955							Well_2
2537.8955							Well_2
2538.0955							Well_2
2538.2955							Well_2
2538.4955							Well_2
2538.6955							Well_2
2538.8955							Well_2
2539.0955							Well_2
2539.2955							Well_2
2539.4955							Well_2
2539.6955							Well_2
2539.8955							Well_2
2540.0955							Well_2
2540.2955							Well_2
2540.4955							Well_2
2540.6955							Well_2
2540.8955							Well_2
2541.0955							Well_2
2541.2955							Well_2
2541.4955							Well_2
2541.6955							Well_2
2541.8955							Well_2
2542.0955							Well_2
2542.2955							Well_2
2542.4955							Well_2
2542.6955							Well_2
2542.8955							Well_2
2543.0955							Well_2
2543.2955							Well_2
2543.4955							Well_2
2543.6955							Well_2
2543.8955							Well_2
2544.0955							Well_2
2544.2955							Well_2
2544.4955							Well_2
2544.6955							Well_2
2544.8955							Well_2
2545.0955							Well_2
2545.2955							Well_2
2545.4955							Well_2
2545.6955							Well_2
2545.8955							Well_2
2546.0955							Well_2
2546.2955							Well_2
2546.4955							Well_2
2546.6955							Well_2
2546.8955							Well_2
2547.0955							Well_2
2547.2955							Well_2
2547.4955							Well_2
2547.6955							Well_2
2547.8955							Well_2
2548.0955							Well_2
2548.2955							Well_2
2548.4955							Well_2
2548.6955							Well_2
2548.8955							Well_2
2549.0955							Well_2
2549.2955							Well_2
2549.4955							Well_2
2549.6955							Well_2
2549.8955							Well_2
2550.0955							Well_2
2550.2955							Well_2
2550.4955							Well_2
2550.6955							Well_2
2550.8955							Well_2
2551.0955							Well_2
2551.2955							Well_2
2551.4955							Well_2
2551.6955							Well_2
2551.8955							Well_2
2552.0955							Well_2
2552.2955							Well_2
2552.4955							Well_2
2552.6955							Well_2
2552.8955							Well_2
2553.0955							Well_2
2553.2955							Well_2
2553.4955							Well_2
2553.6955							Well_2
2553.8955							Well_2
2554.0955							Well_2
2554.2955							Well_2
2554.4955							Well_2
2554.6955							Well_2
2554.8955							Well_2
2555.0955							Well_2
2555.2955							Well_2
2555.4955							Well_2
2555.6955							Well_2
2555.8955							Well_2
2556.0955							Well_2
2556.2955							Well_2
2556.4955							Well_2
2556.6955							Well_2
2556.8955							Well_2
2557.0955							Well_2
2557.2955							Well_2
2557.4955							Well_2
2557.6955							Well_2
2557.8955							Well_2
2558.0955							Well_2
2558.2955							Well_2
2558.4955							Well_2
2558.6955							Well_2
2558.8955							Well_2
2559.0955							Well_2
2559.2955							Well_2
2559.4955							Well_2
2559.6955							Well_2
2559.8955							Well_2
2560.0955							Well_2
2560.2955							Well_2
2560.4955							Well_2
2560.6955							Well_2
2560.8955							Well_2
2561.0955							Well_2
2561.2955							Well_2
2561.4955							Well_2
2561.6955							Well_2
2561.8955							Well_2
2562.0955							Well_2
2562.2955							Well_2
2562.4955							Well_2
2562.6955							Well_2
2562.8955							Well_2
2563.0955							Well_2
2563.2955							Well_2
2563.4955							Well_2
2563.6955							Well_2
2563.8955							Well_2
2564.0955							Well_2
2564.2955							Well_2
2564.4955							Well_2
2564.6955							Well_2
2564.8955							Well_2
2565.0955							Well_2
2565.2955							Well_2
2565.4955							Well_2
2565.6955							Well_2
2565.8955							Well_2
2566.0955							Well_2
2566.2955							Well_2
2566.4955							Well_2
2566.6955							Well_2
2566.8955							Well_2
2567.0955							Well_2
2567.2955							Well_2
2567.4955							Well_2
2567.6955							Well_2
2567.8955							Well_2
2568.0955							Well_2
2568.2955							Well_2
2568.4955							Well_2
2568.6955							Well_2
2568.8955							Well_2
2569.0955							Well_2
2569.2955							Well_2
2569.4955							Well_2
2569.6955							Well_2
2569.8955							Well_2
2570.0955							Well_2
2570.2955							Well_2
2570.4955							Well_2
2570.6955							Well_2
2570.8955							Well_2
2571.0955							Well_2
2571.2955							Well_2
2571.4955							Well_2
2571.6955							Well_2
2571.8955							Well_2
2572.0955							Well_2
2572.2955							Well_2
2572.4955							Well_2
2572.6955							Well_2
2572.8955							Well_2
2573.0955							Well_2
2573.2955							Well_2
2573.4955							Well_2
2573.6955							Well_2
2573.8955							Well_2
2574.0955							Well_2
2574.2955							Well_2
2574.4955							Well_2
2574.6955							Well_2
2574.8955							Well_2
2575.0955							Well_2
2575.2955							Well_2
2575.4955							Well_2
2575.6955							Well_2
2575.8955							Well_2
2576.0955							Well_2
2576.2955							Well_2
2576.4955							Well_2
2576.6955							Well_2
2576.8955							Well_2
2577.0955							Well_2
2577.2955							Well_2
2577.4955							Well_2
2577.6955							Well_2
2577.8955							Well_2
2578.0955							Well_2
2578.2955							Well_2
2578.4955							Well_2
2578.6955							Well_2
2578.8955							Well_2
2579.0955							Well_2
2579.2955							Well_2
2579.4955							Well_2
2579.6955							Well_2
2579.8955							Well_2
2580.0955							Well_2
2580.2955							Well_2
2580.4955							Well_2
2580.6955							Well_2
2580.8955							Well_2
2581.0955							Well_2
2581.2955							Well_2
2581.4955							Well_2
2581.6955							Well_2
2581.8955							Well_2
2582.0955							Well_2
2582.2955							Well_2
2582.4955							Well_2
2582.6955							Well_2
2582.8955							Well_2
2583.0955							Well_2
2583.2955							Well_2
2583.4955							Well_2
2583.6955							Well_2
2583.8955							Well_2
2584.0955							Well_2
2584.2955							Well_2
2584.4955							Well_2
2584.6955							Well_2
2584.8955							Well_2
2585.0955							Well_2
2585.2955							Well_2
2585.4955							Well_2
2585.6955							Well_2
2585.8955							Well_2
2586.0955							Well_2
2586.2955							Well_2
2586.4955							Well_2
2586.6955							Well_2
2586.8955							Well_2
2587.0955							Well_2
2587.2955							Well_2
2587.4955							Well_2
2587.6955							Well_2
2587.8955							Well_2
2588.0955							Well_2
2588.2955							Well_2
2588.4955							Well_2
2588.6955							Well_2
2588.8955							Well_2
2589.0955							Well_2
2589.2955							Well_2
2589.4955							Well_2
2589.6955							Well_2
2589.8955							Well_2
2590.0955							Well_2
2590.2955							Well_2
2590.4955							Well_2
2590.6955							Well_2
2590.8955							Well_2
2591.0955							Well_2
2591.2955							Well_2
2591.4955							Well_2
2591.6955							Well_2
2591.8955							Well_2
2592.0955							Well_2
2592.2955							Well_2
2592.4955							Well_2
2592.6955							Well_2
2592.8955							Well_2
2593.0955							Well_2
2593.2955							Well_2
2593.4955							Well_2
2593.6955							Well_2
2593.8955							Well_2
2594.0955							Well_2
2594.2955							Well_2
2594.4955							Well_2
2594.6955							Well_2
2594.8955							Well_2
2595.0955							Well_2
2595.2955							Well_2
2595.4955							Well_2
2595.6955							Well_2
2595.8955							Well_2
2596.0955							Well_2
2596.2955							Well_2
2596.4955							Well_2
2596.6955							Well_2
2596.8955							Well_2
2597.0955							Well_2
2597.2955							Well_2
2597.4955							Well_2
2597.6955							Well_2
2597.8955							Well_2
2598.0955							Well_2
2598.2955							Well_2
2598.4955							Well_2
2598.6955							Well_2
2598.8955							Well_2
2599.0955							Well_2
2599.2955							Well_2
2599.4955							Well_2
2599.6955							Well_2
2599.8955							Well_2
2600.0955							Well_2
2600.2955							Well_2
2600.4955							Well_2
2600.6955							Well_2
2600.8955							Well_2
2601.0955							Well_2
2601.2955							Well_2
2601.4955							Well_2
2601.6955							Well_2
2601.8955							Well_2
2602.0955							Well_2
2602.2955							Well_2
2602.4955							Well_2
2602.6955							Well_2
2602.8955							Well_2
2603.0955							Well_2
2603.2955							Well_2
2603.4955							Well_2
2603.6955							Well_2
2603.8955							Well_2
2604.0955							Well_2
2604.2955							Well_2
2604.4955							Well_2
2604.6955							Well_2
2604.8955							Well_2
2605.0955							Well_2
2605.2955							Well_2
2605.4955							Well_2
2605.6955							Well_2
2605.8955							Well_2
2606.0955							Well_2
2606.2955							Well_2
2606.4955							Well_2
2606.6955							Well_2
2606.8955							Well_2
2607.0955							Well_2
2607.2955							Well_2
2607.4955							Well_2
2607.6955							Well_2
2607.8955							Well_2
2608.0955							Well_2
2608.2955							Well_2
2608.4955							Well_2
2608.6955							Well_2
2608.8955							Well_2
2609.0955							Well_2
2609.2955							Well_2
2609.4955							Well_2
2609.6955							Well_2
2609.8955							Well_2
2610.0955							Well_2
2610.2955							Well_2
2610.4955							Well_2
2610.6955							Well_2
2610.8955							Well_2
2611.0955							Well_2
2611.2955							Well_2
2611.4955							Well_2
2611.6955							Well_2
2611.8955							Well_2
2612.0955							Well_2
2612.2955							Well_2
2612.4955							Well_2
2612.6955							Well_2
2612.8955							Well_2
2613.0955							Well_2
2613.2955							Well_2
2613.4955							Well_2
2613.6955							Well_2
2613.8955							Well_2
2614.0955							Well_2
2614.2955							Well_2
2614.4955							Well_2
2614.6955							Well_2
2614.8955							Well_2
2615.0955							Well_2
2615.2955							Well_2
2615.4955							Well_2
2615.6955							Well_2
2615.8955							Well_2
2616.0955							Well_2
2616.2955							Well_2
2616.4955							Well_2
2616.6955							Well_2
2616.8955							Well_2
2617.0955							Well_2
2617.2955							Well_2
