MD	PHIE	GR	RHOB	DTCO	PHI_ALT	DTS	WELL
3224.7936						227.14900208	Well_4
3224.9936						224.83650208	Well_4
3225.1936						221.84069824	Well_4
3225.3936						218.88800049	Well_4
3225.5936						217.38119507	Well_4
3225.7936						215.96429443	Well_4
3225.9936						214.61470032	Well_4
3226.1936						213.85679626	Well_4
3226.3936						214.09429932	Well_4
3226.5936						216.02929688	Well_4
3226.7936						219.07229614	Well_4
3226.9936						224.10350037	Well_4
3227.1936						225.96530151	Well_4
3227.3936						228.39289856	Well_4
3227.5936						230.55529785	Well_4
3227.7936						231.60009766	Well_4
3227.9936						230.04379272	Well_4
3228.1936						226.97169495	Well_4
3228.3936						219.97399902	Well_4
3228.5936						218.0461731	Well_4
3228.7936						216.46690369	Well_4
3228.9936						214.28660583	Well_4
3229.1936						212.30799866	Well_4
3229.3936						208.55810547	Well_4
3229.5936						206.80670166	Well_4
3229.7936						207.07519531	Well_4
3229.9936						209.2888031	Well_4
3230.1936						210.91400146	Well_4
3230.3936						213.69189453	Well_4
3230.5936						214.854599	Well_4
3230.7936						217.21929932	Well_4
3230.9936						218.66200256	Well_4
3231.1936						220.68859863	Well_4
3231.3936						221.51469421	Well_4
3231.5936						220.92720032	Well_4
3231.7936						221.95785522	Well_4
3231.9936						223.13059998	Well_4
3232.1936						224.19520569	Well_4
3232.3936						223.85870361	Well_4
3232.5936						221.78649902	Well_4
3232.7936						220.27999878	Well_4
3232.9936						217.76739502	Well_4
3233.1936						214.94650269	Well_4
3233.3936						210.99099731	Well_4
3233.5936						209.40879822	Well_4
3233.7936						208.86869812	Well_4
3233.9936						208.88890076	Well_4
3234.1936						210.88209534	Well_4
3234.3936						211.54750061	Well_4
3234.5936						213.02409363	Well_4
3234.7936						213.70210266	Well_4
3234.9936						213.96339417	Well_4
3235.1936						214.16870117	Well_4
3235.3936						212.97140503	Well_4
3235.5936						210.99690247	Well_4
3235.7936						207.95759583	Well_4
3235.9936						206.47369385	Well_4
3236.1936						205.35769653	Well_4
3236.3936						204.2808075	Well_4
3236.5936						203.79660034	Well_4
3236.7936						203.18029785	Well_4
3236.9936						203.6822052	Well_4
3237.1936						204.9611969	Well_4
3237.3936						205.72689819	Well_4
3237.5936						206.30110168	Well_4
3237.7936						206.97810364	Well_4
3237.9936						206.20269775	Well_4
3238.1936						205.54820251	Well_4
3238.3936						205.18460083	Well_4
3238.5936						205.12730408	Well_4
3238.7936						205.73429871	Well_4
3238.9936						207.3717041	Well_4
3239.1936						208.15690613	Well_4
3239.3936						211.21209717	Well_4
3239.5936						213.01739502	Well_4
3239.7936						215.30670166	Well_4
3239.9936						216.57679749	Well_4
3240.1936						215.78269958	Well_4
3240.3936						215.40170288	Well_4
3240.5936						214.57460022	Well_4
3240.7936						213.08779907	Well_4
3240.9936						208.82629395	Well_4
3241.1936						206.97940063	Well_4
3241.3936						205.93800354	Well_4
3241.5936						204.3881073	Well_4
3241.7936						203.31820679	Well_4
3241.9936						202.71679688	Well_4
3242.1936						201.56840515	Well_4
3242.3936						201.13879395	Well_4
3242.5936						201.34100342	Well_4
3242.7936						201.26629639	Well_4
3242.9936						202.41470337	Well_4
3243.1936						203.25880432	Well_4
3243.3936						204.33250427	Well_4
3243.5936						206.77330017	Well_4
3243.7936						212.47749329	Well_4
3243.9936						216.77799988	Well_4
3244.1936						218.22019958	Well_4
3244.3936						222.8934021	Well_4
3244.5936						229.31460571	Well_4
3244.7936						230.48649597	Well_4
3244.9936						235.17770386	Well_4
3245.1936						236.74490356	Well_4
3245.3936						234.33210754	Well_4
3245.5936						232.78759766	Well_4
3245.7936						231.01559448	Well_4
3245.9936						228.09289551	Well_4
3246.1936						223.8085022	Well_4
3246.3936						217.44830322	Well_4
3246.5936						215.44520569	Well_4
3246.7936						213.21260071	Well_4
3246.9936						214.02319336	Well_4
3247.1936						215.86480713	Well_4
3247.3936						217.80949402	Well_4
3247.5936						219.20379639	Well_4
3247.7936						220.21789551	Well_4
3247.9936						221.32069397	Well_4
3248.1936						223.51579285	Well_4
3248.3936						224.36120605	Well_4
3248.5936						223.86239624	Well_4
3248.7936						224.19200134	Well_4
3248.9936						225.35069275	Well_4
3249.1936						227.15010071	Well_4
3249.3936						227.66520691	Well_4
3249.5936						226.21749878	Well_4
3249.7936						222.57589722	Well_4
3249.9936						219.58850098	Well_4
3250.1936						214.07429504	Well_4
