MD	GR	RHOB	PHIE	DTCO	PHI_ALT	DTS	WELL
2472.4698							Well_10
2472.6698							Well_10
2472.8698							Well_10
2473.0698							Well_10
2473.2698							Well_10
2473.4698							Well_10
2473.6698							Well_10
2473.8698							Well_10
2474.0698							Well_10
2474.2698							Well_10
2474.4698							Well_10
2474.6698							Well_10
2474.8698							Well_10
2475.0698							Well_10
2475.2698							Well_10
2475.4698							Well_10
2475.6698							Well_10
2475.8698							Well_10
2476.0698							Well_10
2476.2698							Well_10
2476.4698							Well_10
2476.6698							Well_10
2476.8698							Well_10
2477.0698							Well_10
2477.2698							Well_10
2477.4698							Well_10
2477.6698							Well_10
2477.8698							Well_10
2478.0698							Well_10
2478.2698							Well_10
2478.4698							Well_10
2478.6698							Well_10
2478.8698							Well_10
2479.0698							Well_10
2479.2698							Well_10
2479.4698							Well_10
2479.6698							Well_10
2479.8698							Well_10
2480.0698							Well_10
2480.2698							Well_10
2480.4698							Well_10
2480.6698							Well_10
2480.8698							Well_10
2481.0698							Well_10
2481.2698							Well_10
2481.4698							Well_10
2481.6698							Well_10
2481.8698							Well_10
2482.0698							Well_10
2482.2698							Well_10
2482.4698							Well_10
2482.6698							Well_10
2482.8698							Well_10
2483.0698							Well_10
2483.2698							Well_10
2483.4698							Well_10
2483.6698							Well_10
2483.8698							Well_10
2484.0698							Well_10
2484.2698							Well_10
2484.4698							Well_10
2484.6698							Well_10
2484.8698							Well_10
2485.0698							Well_10
2485.2698							Well_10
2485.4698							Well_10
2485.6698							Well_10
2485.8698							Well_10
2486.0698							Well_10
2486.2698							Well_10
2486.4698							Well_10
2486.6698							Well_10
2486.8698							Well_10
2487.0698							Well_10
2487.2698							Well_10
2487.4698							Well_10
2487.6698							Well_10
2487.8698							Well_10
2488.0698							Well_10
2488.2698							Well_10
2488.4698							Well_10
2488.6698							Well_10
2488.8698							Well_10
2489.0698							Well_10
2489.2698							Well_10
2489.4698							Well_10
2489.6698							Well_10
2489.8698							Well_10
2490.0698							Well_10
2490.2698							Well_10
2490.4698							Well_10
2490.6698							Well_10
2490.8698							Well_10
2491.0698							Well_10
2491.2698							Well_10
2491.4698							Well_10
2491.6698							Well_10
2491.8698							Well_10
2492.0698							Well_10
