MD	PHIE	DTCO	GR	RHOB	PHI_ALT	DTS	WELL
2422.4908							Well_3
2422.6908							Well_3
2422.8908							Well_3
2423.0908							Well_3
2423.2908							Well_3
2423.4908							Well_3
2423.6908							Well_3
2423.8908							Well_3
2424.0908							Well_3
2424.2908							Well_3
2424.4908							Well_3
2424.6908							Well_3
2424.8908							Well_3
2425.0908							Well_3
2425.2908							Well_3
2425.4908							Well_3
2425.6908							Well_3
2425.8908							Well_3
2426.0908							Well_3
2426.2908							Well_3
2426.4908							Well_3
2426.6908							Well_3
2426.8908							Well_3
2427.0908							Well_3
2427.2908							Well_3
2427.4908							Well_3
2427.6908							Well_3
2427.8908							Well_3
2428.0908							Well_3
2428.2908							Well_3
2428.4908							Well_3
2428.6908							Well_3
2428.8908							Well_3
2429.0908							Well_3
2429.2908							Well_3
2429.4908							Well_3
2429.6908							Well_3
2429.8908							Well_3
2430.0908							Well_3
2430.2908							Well_3
2430.4908							Well_3
2430.6908							Well_3
2430.8908							Well_3
2431.0908							Well_3
2431.2908							Well_3
2431.4908							Well_3
2431.6908							Well_3
2431.8908							Well_3
2432.0908							Well_3
2432.2908							Well_3
2432.4908							Well_3
2432.6908							Well_3
2432.8908							Well_3
2433.0908							Well_3
2433.2908							Well_3
2433.4908							Well_3
2433.6908							Well_3
2433.8908							Well_3
2434.0908							Well_3
2434.2908							Well_3
2434.4908							Well_3
2434.6908							Well_3
2434.8908							Well_3
2435.0908							Well_3
2435.2908							Well_3
2435.4908							Well_3
2435.6908							Well_3
2435.8908							Well_3
2436.0908							Well_3
2436.2908							Well_3
2436.4908							Well_3
2436.6908							Well_3
2436.8908							Well_3
2437.0908							Well_3
2437.2908							Well_3
2437.4908							Well_3
2437.6908							Well_3
2437.8908							Well_3
2438.0908							Well_3
2438.2908							Well_3
2438.4908							Well_3
2438.6908							Well_3
2438.8908							Well_3
2439.0908							Well_3
2439.2908							Well_3
2439.4908							Well_3
2439.6908							Well_3
2439.8908							Well_3
2440.0908							Well_3
2440.2908							Well_3
2440.4908							Well_3
2440.6908							Well_3
2440.8908							Well_3
2441.0908							Well_3
2441.2908							Well_3
2441.4908							Well_3
2441.6908							Well_3
2441.8908							Well_3
2442.0908							Well_3
2442.2908							Well_3
2442.4908							Well_3
2442.6908							Well_3
2442.8908							Well_3
2443.0908							Well_3
2443.2908							Well_3
2443.4908							Well_3
2443.6908							Well_3
2443.8908							Well_3
2444.0908							Well_3
2444.2908							Well_3
2444.4908							Well_3
2444.6908							Well_3
2444.8908							Well_3
2445.0908							Well_3
2445.2908							Well_3
2445.4908							Well_3
