MD	DTCO	GR	RHOB	PHIE	PHI_ALT	DTS	WELL
5338.6732	74.998794556	20.081451416	1.8009440899	0.2007265091	-0.042534344	134.35809326	Well_8
5338.8732	76.006912231	18.426303864	1.9069787264	0.2132188976	-0.067056671	136.02819824	Well_8
5339.0732	75.741386414	16.75440979	2.2182006836	0.2243280858	-0.07040561	134.73570251	Well_8
5339.2732	74.10345459	19.897754669	2.4915518761	0.2274196893	-0.060162872	131.65190125	Well_8
5339.4732	73.464317322	22.060810089	2.5871968269	0.2208149582	-0.041746832	127.52799988	Well_8
5339.6732	71.923622131	21.887462616	2.5892243385	0.2085876614	-0.030467495	124.23439789	Well_8
5339.8732	71.209144592	23.497423172	2.5439829826	0.1990955323	-0.01832274	122.7009964	Well_8
5340.0732	70.613395691	24.231626511	2.4919471741	0.186811015	-0.031808555	120.99289703	Well_8
5340.2732	70.398101807	23.464691162	2.4844520092	0.1776328087	-0.035604797	122.86190033	Well_8
5340.4732	70.810928345	22.35250473	2.5103356838	0.1725847721	-0.011340764	126.09470367	Well_8
5340.6732	72.561431885	21.315023422	2.5088920593	0.1711149663	-0.002811832	129.40449524	Well_8
5340.8732	73.016181946	21.888986588	2.5192577839	0.1801367551	-0.037245795	132.16810608	Well_8
5341.0732	73.745475769	22.527784348	2.5256400108	0.1955443621	-0.048296534	132.56430054	Well_8
5341.2732	73.432632446	24.275245667	2.5202953815	0.2023968548	-0.034463644	128.81230164	Well_8
5341.4732	70.58669281	28.018211365	2.5274546146	0.1919267625	-0.023874573	122.79250336	Well_8
5341.6732	66.377685547	26.435829163	2.5650837421	0.1704768986	-0.015146493	116.9292984	Well_8
5341.8732	65.097045898	23.280956268	2.5814511776	0.1460653543	-0.001010622	114.71340179	Well_8
5342.0732	66.276702881	25.139410019	2.5809817314	0.1299624741	0.0036807242	115.60690308	Well_8
5342.2732	68.428695679	26.737894058	2.5932395458	0.1381338686	-0.01184604	118.72109985	Well_8
5342.4732	70.329368591	26.397369385	2.5852835178	0.1568771601	-0.032973785	121.45030212	Well_8
5342.6732	70.479873657	29.087558746	2.5889537334	0.1697128564	-0.03612721	122.5042038	Well_8
5342.8732	68.775115967	29.464529037	2.5992414951	0.16674909	-0.022544967	122.16010284	Well_8
5343.0732	68.079826355	25.58719635	2.5980455875	0.1574126035	-0.009809419	121.22149658	Well_8
5343.2732	68.621047974	23.837831497	2.6022670269	0.1505698264	-0.016840627	120.78659821	Well_8
5343.4732	69.406906128	25.082046509	2.6062886715	0.1500561684	-0.033638783	121.61779785	Well_8
5343.6732	69.950897217	26.438240051	2.6142203808	0.150218904	-0.033075217	122.9417038	Well_8
5343.8732	69.513221741	29.196619034	2.6180341244	0.1404244155	-0.01622053	122.83789825	Well_8
5344.0732	67.47052002	32.806713104	2.6166436672	0.1172606274	0.0101587176	120.48989868	Well_8
5344.2732	63.238090515	31.034303665	2.6083464622	0.0923220515	0.0269801933	117.50229645	Well_8
5344.4732	63.391811371	28.384532928	2.5895078182	0.0837721825	0.0404301025	116.05809784	Well_8
5344.6732	67.275939941	24.795001984	2.5758314133	0.102431491	0.0211362261	116.75240326	Well_8
5344.8732	68.313720703	25.01210022	2.600663662	0.1370110214	-0.032596547	118.04740143	Well_8
5345.0732	66.338989258	26.606969833	2.620388031	0.1611301899	-0.05106952	117.38439941	Well_8
5345.2732	62.856864929	28.426860809	2.624576807	0.1639490873	-0.040210538	113.78910065	Well_8
5345.4732	59.116565704	28.272212982	2.6215748787	0.1407251954	-0.023457147	108.12149811	Well_8
5345.6732	55.92256546	25.086883545	2.6216917038	0.1101944894	-0.00154401	103.13899994	Well_8
5345.8732	55.3346138	23.235939026	2.6244978905	0.0882044658	0.0170575194	100.70960236	Well_8
5346.0732	56.367279053	21.207654953	2.6290187836	0.0844496042	0.0322565958	100.8757019	Well_8
5346.2732	57.737846375	20.509120941	2.6347093582	0.0907230973	0.0430678949	103.11119843	Well_8
5346.4732	60.35824585	18.140165329	2.6388225555	0.1039572209	0.0466741696	106.42070007	Well_8
5346.6732	62.077892303	18.530656815	2.635859251	0.1312724352	0.0261318814	109.75460052	Well_8
5346.8732	63.805503845	29.135286331	2.6306340694	0.1673682481	0.0025023799	112.25830078	Well_8
5347.0732	64.601333618	35.811508179	2.6246623993	0.1955698133	-0.010712394	113.73750305	Well_8
5347.2732	63.666362762	35.22026062	2.6202659607	0.2159779519	-0.006487646	113.23210144	Well_8
5347.4732	60.586177826	32.368301392	2.6213474274	0.2439963222	-0.004881169	111.20069885	Well_8
5347.6732	57.91860199	28.4953022	2.6209213734	0.3095454276	-0.006066606	108.13539886	Well_8
5347.8732	48.411472321	25.899467468	2.6200559139	0.4051378071	-0.086738765	104.27649689	Well_8
5348.0732	47.141464233	27.24712944	2.6202816963	0.4183845222	-0.237374499	99.722198486	Well_8
5348.2732	46.946121216	35.522655487	2.6260559559	0.3501430452	-0.273428977	95.132499695	Well_8
5348.4732	48.662239075	47.080883026	2.6238195896	0.2539716363	-0.14396885	92.460800171	Well_8
5348.6732	53.357303619	45.073547363	2.6173148155	0.1647482961	-0.035109352	92.185096741	Well_8
5348.8732	59.050804138	39.291744232	2.6132371426	0.1052149609	0.0206019301	96.919799805	Well_8
5349.0732	61.53093338	39.344051361	2.6130378246	0.0864236206	0.0096116969	103.04109955	Well_8
5349.2732	64.084014893	37.74830246	2.6043968201	0.0927824154	-0.021787276	109.08329773	Well_8
5349.4732	65.087600708	38.523262024	2.5977804661	0.1043005213	-0.033641085	113.42379761	Well_8
5349.6732	65.10319519	36.22832489	2.5967843533	0.1128338575	-0.021035764	114.9138031	Well_8
5349.8732	63.882469177	30.137153625	2.5849461555	0.1164225712	-0.012839762	114.36789703	Well_8
5350.0732	62.721908569	27.820980072	2.5684092045	0.116981104	-0.012418017	112.5184021	Well_8
5350.2732	61.732269287	27.327352524	2.5748794079	0.1185677126	-0.012375775	110.23110199	Well_8
5350.4732	60.150684357	28.897920609	2.5877428055	0.1139784753	-0.019628437	107.26789856	Well_8
5350.6732	59.595169067	38.102523804	2.582249403	0.1099916026	-0.023654923	104.60079956	Well_8
5350.8732	58.050819397	44.917877197	2.5670802593	0.1032110229	-0.01165168	102.55059814	Well_8
5351.0732	57.182518005	38.092006683	2.5432400703	0.0890661404	0.0054375422	101.09249878	Well_8
5351.2732	57.357997894	34.851783752	2.5252189636	0.0807223096	0.0025664819	100.52709961	Well_8
5351.4732	57.60137558	32.891792297	2.5383024216	0.0824795291	0.0048490129	100.70960236	Well_8
5351.6732	58.054546356	29.995365143	2.5520303249	0.0859283507	0.0010897691	100.86959839	Well_8
5351.8732	58.053924561	31.819345474	2.5622301102	0.0834992081	-0.006841809	100.94650269	Well_8
5352.0732	57.712974548	33.71931839	2.5706291199	0.0825543329	-0.007124381	100.83029938	Well_8
5352.2732	57.498210907	32.542037964	2.5816454887	0.0833417326	-0.00702729	100.27480316	Well_8
5352.4732	56.639377594	32.53155899	2.5835616589	0.0791010484	-0.005910946	99.508102417	Well_8
5352.6732	56.121398926	35.115543365	2.5643212795	0.070781894	-0.003044677	98.560997009	Well_8
5352.8732	56.361701965	37.128051758	2.5222320557	0.0652963296	-0.000725724	98.054397583	Well_8
5353.0732	56.496822357	37.46081543	2.4682705402	0.0619955398	0.0027382046	98.293403625	Well_8
5353.2732	57.090427399	39.169403076	2.456882	0.0604393706	0.0106637776	98.76940155	Well_8
5353.4732	57.270599365	40.354091644	2.4931106567	0.0617653541	0.0141541865	98.912696838	Well_8
5353.6732	57.095340729	40.71150589	2.5544559956	0.0612787381	0.0089109074	98.387802124	Well_8
5353.8732	56.572158813	46.122955322	2.5735607147	0.0568354316	-0.00148902	97.553497314	Well_8
5354.0732	56.06186676	48.336933136	2.572586298	0.0552427843	0.0067912624	97.010299683	Well_8
5354.2732	55.468090057	40.252468109	2.5637056828	0.0559656173	0.0152317537	97.075401306	Well_8
5354.4732	55.472175598	34.180812836	2.5547394753	0.0596866161	0.011544832	97.319602966	Well_8
5354.6732	55.531898499	32.217842102	2.5470690727	0.0610283464	0.0052216961	97.380599976	Well_8
5354.8732	55.564361572	31.278411865	2.5500016212	0.055391077	0.0024000292	97.313903809	Well_8
5355.0732	55.524002075	33.980575562	2.5591597557	0.0543685034	0.0054610223	96.881599426	Well_8
5355.2732	55.48090744	35.689517975	2.5685098171	0.056658268	0.005102471	96.839302063	Well_8
5355.4732	55.443675995	36.205936432	2.5693695545	0.0577601045	0.0075904233	97.154701233	Well_8
5355.6732	55.603500366	36.511608124	2.5727376938	0.056108661	0.0143273473	97.754600525	Well_8
5355.8732	55.837249756	35.83152771	2.5742075443	0.0554524921	0.0110419653	98.436096191	Well_8
5356.0732	55.93825531	34.744945526	2.5752418041	0.0528207347	0.0040888404	98.920402527	Well_8
5356.2732	55.882202148	35.948104858	2.5797102451	0.0509543307	-0.001515235	99.213897705	Well_8
5356.4732	55.918556213	37.439216614	2.5734257698	0.0519842505	-0.00715795	99.295600891	Well_8
5356.6732	56.209442139	36.978874207	2.5566344261	0.0522742756	0.0040740012	99.420097351	Well_8
